movieId,title,genres,tmdbId,imdbId,Average_Vote_TMDB,Vote_Count_TMDB,Popularity,Adult,Collection,Backdrop_Path
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1710,112722,6.5,724,9.364,FALSE,None,/gE1DHa82NZVb9B2Lx2cLNz43Iwd.jpg
23,Assassins (1995),Action|Crime|Thriller,9691,112401,6.4,1226,14.099,FALSE,None,/sl8v4Re2ww5ekx1O9qqya5fYNeD.jpg
24,Powder (1995),Drama|Sci-Fi,12665,114168,6.9,465,18.859,FALSE,None,/4Fj7HwCq3M0UVYXZKU0sVz9OPaX.jpg
25,Leaving Las Vegas (1995),Drama|Romance,451,113627,7.3,1086,15.533,FALSE,None,/ckTh7Ej33m9O4eiKDQ1u91Opd9N.jpg
26,Othello (1995),Drama,16420,114057,6.6,116,5.587,FALSE,None,/avr1lEjpRVtSaZc6SwDNJZ2CJSl.jpg
27,Now and Then (1995),Children|Drama,9263,114011,6.9,347,9.812,FALSE,None,/ic529Vlnxmp2ArVSYr5vBLoNFEK.jpg
28,Persuasion (1995),Drama|Romance,17015,114117,7.2,102,14.246,FALSE,None,/evCHYeumw4Y4hikG4AG9o5yZXUW.jpg
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,902,112682,7.4,820,11.533,FALSE,None,/yDjsUoEANHggKFabkAyTu3Y9j4N.jpg
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,37557,115012,6.7,59,5.718,FALSE,None,/gHG1OogmvDJldyi1tjqncjoblKV.jpg
31,Dangerous Minds (1995),Drama,9909,112792,6.9,892,15.957,FALSE,None,/nAnztzzsijB1CvAcFZATsTTP3tr.jpg
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,63,114746,7.6,6889,25.329,FALSE,None,/2aPrheKAOwyjJqu6YYd2TvsKv9a.jpg
34,Babe (1995),Children|Drama,9598,112431,6.2,2406,22.443,FALSE,Babe Collection,/agkZziO4ZPAsVfKUrJD68lys08P.jpg
36,Dead Man Walking (1995),Crime|Drama,687,112818,7.4,1073,16.44,FALSE,None,/ka6np2LONtAElZOVeebb3mwSTBs.jpg
38,It Takes Two (1995),Children|Comedy,33689,113442,6.5,737,15.885,FALSE,None,/yS3E5LOcFsk3eWGh3oWGnsfV1M8.jpg
39,Clueless (1995),Comedy|Romance,9603,112697,7.3,3505,37.561,FALSE,None,/pmE7AXRn2X0PVVHvcZ5uvxJfN2R.jpg
40,"Cry, the Beloved Country (1995)",Drama,34615,112749,6.6,20,2.677,FALSE,None,/gxYGxWXc9855Hzz1VPJuJME6w2u.jpg
41,Richard III (1995),Drama|War,31174,114279,6.8,137,8.229,FALSE,None,/l8gbqIvow8rXFblM5IzYI5AKN8Z.jpg
42,Dead Presidents (1995),Action|Crime|Drama,11443,112819,6.6,214,7.577,FALSE,None,/kUdcoofpKcoCFzVQ8lbEbbhsHpC.jpg
43,Restoration (1995),Drama,35196,114272,6.3,90,7.125,FALSE,None,/nrd3UFXhaqV6odGd9cOVJfdqqGT.jpg
44,Mortal Kombat (1995),Action|Adventure|Fantasy,9312,113855,5.8,1795,26.396,FALSE,Mortal Kombat Collection,/eDg6HPCnQaUhTOdZB3LzJjpnGtT.jpg
45,To Die For (1995),Comedy|Drama|Thriller,577,114681,6.6,610,10.489,FALSE,None,/hkQonhCuDyjRmhFsFrCK0XnW7kk.jpg
46,How to Make an American Quilt (1995),Drama|Romance,11861,113347,6.4,142,5.797,FALSE,None,/iIPllShmdO66FK6kbncIkdA4O98.jpg
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,807,114369,8.4,17165,41.531,FALSE,None,/dYjZ27hDw2QFaEIfzbNGwW0IkV9.jpg
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,10530,114148,6.9,4852,43.221,FALSE,Pocahontas Collection,/9YAVIwBcBrLXeukg2dgMGfYB1uu.jpg
49,When Night Is Falling (1995),Drama|Romance,8391,114916,6.2,52,8.91,FALSE,None,/a1YXU1EnyVc5z0QXtvjb39DaSnZ.jpg
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,629,114814,8.2,8619,24.126,FALSE,None,/7S7PE3vK9Eh5uzCYBDGk5qTJeYW.jpg
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,11448,113819,6.8,522,8.317,FALSE,None,/tOxaQIUmgMVYO3L3OGlTMogomba.jpg
53,Lamerica (1994),Adventure|Drama,49133,110299,7.3,44,2.432,FALSE,None,/1udmBSCUyP6FDrnUNQ9CjSlp0iz.jpg
54,"Big Green, The (1995)",Children|Comedy,26441,112499,5.6,149,7.852,FALSE,None,/bSE6JsSOvY350NhaT2nhUhl5hUE.jpg
55,Georgia (1995),Drama,97406,113158,5.9,30,2.486,FALSE,None,/jcqPzPvSTkqIKGEYApA7azTCZZ0.jpg
57,Home for the Holidays (1995),Drama,9089,113321,6.3,137,7.497,FALSE,None,/d9UBz6c39l5tTSC0Dwjg5HrdrwN.jpg
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,11010,110877,7.9,920,7.772,FALSE,None,/32pvxFiXNo2TdNpBiuHN8k2Mr4K.jpg
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,11359,113419,6.4,484,37.147,FALSE,None,/zIDwM5vjcBMSeTIlGzubpabRgKt.jpg
61,Eye for an Eye (1996),Drama|Thriller,17182,116260,6.1,267,10.247,FALSE,None,/rX3LTGBNy9lxQBaU4yo4NaehIRZ.jpg
62,Mr. Holland's Opus (1995),Drama,2054,113862,7,312,10.61,FALSE,None,/oUptKQLatCgywVDx0ETVhq7knHt.jpg
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,10607,116126,6.9,939,64.659,FALSE,None,/we37KH1URxk8jrMaSKVHOmuqaDc.jpg
64,Two if by Sea (1996),Comedy|Romance,19760,118002,4.9,69,5.714,FALSE,None,/9YTwzhG4HcZICyWcwSGO3O9JBgw.jpg
65,Bio-Dome (1996),Comedy,9536,115683,4.5,283,9.472,FALSE,None,/quc6Smoaha9ZrFlu9gtSlJP66iF.jpg
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,11525,116839,2.9,106,8.085,FALSE,The Lawnmower Man Collection,/rCZfdhDuJJTwdUMpuaRiCm9jS0k.jpg
68,French Twist (Gazon maudit) (1995),Comedy|Romance,4482,113149,6,252,6.601,FALSE,None,/eAexMnPNZG0Q9QNHNWWfr9iHLMf.jpg
69,Friday (1995),Comedy,10634,113118,7.1,1361,33.706,FALSE,Friday Collection,/gy0CKsdHmU2GRv9TXP4aIj5hAGE.jpg
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,755,116367,7,4838,19.297,FALSE,From Dusk Till Dawn Collection,/xbeAyr3lUNrp34YdkupZoaQjntb.jpg
71,Fair Game (1995),Action,11859,113010,4.9,230,11.893,FALSE,None,/pIZ4qUugsYCglgFQmsaOfuICqVi.jpg
72,Kicking and Screaming (1995),Comedy|Drama,28387,113537,6.2,143,7.969,FALSE,None,/hyG7Y6r0aQnE5ssoTyq8xSQmS25.jpg
73,"Misérables, Les (1995)",Drama|War,48750,113828,6.8,52,4.449,FALSE,None,/eQ9NiDs3FBGxdVCCjaNkQxSEbe0.jpg
74,Bed of Roses (1996),Drama|Romance,20927,115644,6,93,7.008,FALSE,None,/atvPrt0cskbEuuSc2LzTWSVGXAr.jpg
75,Big Bully (1996),Comedy|Drama,36929,115676,4.4,56,5.456,FALSE,None,/vgzhV2mmodGUp5GETv13JtGLUac.jpg
76,Screamers (1995),Action|Sci-Fi|Thriller,9102,114367,6.2,408,7.797,FALSE,Screamers Collection,/7LMy4tZggDRa31ycv5ccnPtLspV.jpg
77,Nico Icon (1995),Documentary,124626,113973,6.9,8,1.721,FALSE,None,/4qO219U8z1XeHLni800jCsbpSs0.jpg
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,27526,112744,6,202,7.627,FALSE,None,/oi9RFxqb5Tncm7VvDnVT6sZUWyH.jpg
79,"Juror, The (1996)",Drama|Thriller,9623,116731,5.5,288,7.402,FALSE,None,/g0CGOIl3H1FDsqHpPzlfkhXAtv8.jpg
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,46785,112445,7.7,60,3.287,FALSE,None,/jRLhcuyTPgcaCzrTKVTVrFDWrYo.jpg
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,400,114660,6.6,293,7.613,FALSE,None,/7fEOKdQIfbkOxy0enLtpyPGUsTm.jpg
82,Antonia's Line (Antonia) (1995),Comedy|Drama,880,112379,7,91,4.923,FALSE,None,/sOkUBkwq21ZEThCX7wboY2Xl3m5.jpg
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,146599,114039,5.3,3,1.4,FALSE,None,/jWgp2Ai4jwRPhYlCnctMDMWzO6e.jpg
85,Angels and Insects (1995),Drama|Romance,8447,112365,6.6,41,5.069,FALSE,None,/h5PrPi1fnGACJiYoIJxBpAkqhGU.jpg
86,White Squall (1996),Action|Adventure|Drama,10534,118158,6.3,268,7.836,FALSE,None,/pgBHDE78HPVmiPb6hlL80ymzLDO.jpg
87,Dunston Checks In (1996),Children|Comedy,17414,116151,5.3,175,10.272,FALSE,None,/4SYfd4OWLlkzZWhXZK4aCMndCvI.jpg
88,Black Sheep (1996),Comedy,13997,115697,6,312,9.86,FALSE,None,/kGwpxwzeSkBb655nQxgC9dHB73F.jpg
89,Nick of Time (1995),Action|Thriller,2086,113972,6.2,553,12.435,FALSE,None,/u1JzntSiNw9vUCqYIOcNDajWwdZ.jpg
92,Mary Reilly (1996),Drama|Horror|Thriller,9095,117002,5.9,250,8.024,FALSE,None,/mErnrp6gxgSw7eYVnuos3k8EkWf.jpg
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,12158,114825,5,432,9.914,FALSE,None,/puGrHNxFpJWSWwY9OoMjJQXsVYR.jpg
94,Beautiful Girls (1996),Comedy|Drama|Romance,9283,115639,6.7,285,8.733,FALSE,None,/5VfgNZJvJ6FcwF3PPQbpUIzILkQ.jpg
95,Broken Arrow (1996),Action|Adventure|Thriller,9208,115759,6,1198,12.82,FALSE,None,/m2maHbK0bZhBb9y86Yw39Zm0IFe.jpg
96,In the Bleak Midwinter (1995),Comedy|Drama,40154,113403,7.3,27,3.164,FALSE,None,/wf446QSy0yhCTx1uuPZbcQgENSH.jpg
97,"Hate (Haine, La) (1995)",Crime|Drama,406,113247,8.1,3002,9.442,FALSE,None,/viGCwLxupyoaLsa6hrnu1gYrB0B.jpg
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,63076,113283,6.5,13,1.421,FALSE,None,/1Hvs7hsAfDxtXPGqq5ZGSX4Aphb.jpg
100,City Hall (1996),Drama|Thriller,11062,115907,6,196,10.396,FALSE,None,/9z9SwlbhlV1oaai2gPhyRE8xpIG.jpg
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,13685,115734,6.8,820,8.241,FALSE,None,/wWZjmgJC2m2jy4UAPtRAsakNtG7.jpg
102,Mr. Wrong (1996),Comedy,47475,117102,4,44,3.636,FALSE,None,/yGbPzJ5hib2TFi0Rkb6JH8webaL.jpg
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,2045,118040,5.6,80,5.344,FALSE,None,/csrQBDnGRQBCRQb8lclpmLGVMnD.jpg
104,Happy Gilmore (1996),Comedy,9614,116483,6.6,2085,17.554,FALSE,None,/hhjHa5o45vRuLIpw98EA41yFtw7.jpg
105,"Bridges of Madison County, The (1995)",Drama|Romance,688,112579,7.7,1686,16.691,FALSE,None,/4TnGcUsyd6ixuLWHaaEG5BGkAIp.jpg
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,11907,110251,6,24,1.136,FALSE,None,/pTzaa5drRfGwazUAYEWn5pPd42b.jpg
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,10874,117110,6.5,294,8.99,FALSE,None,/3RfNxQhvseerf9dNlo1dmL09RLr.jpg
108,Catwalk (1996),Documentary,89333,112646,7.4,7,2.508,FALSE,None,/sQ2dk0qd3rhfT1776GcFnLj4s1U.jpg
110,Braveheart (1995),Action|Drama|War,197,112573,7.9,8403,33.688,FALSE,None,/1m1c5gIWWkb1FEC9lzsoXHhhs7b.jpg
111,Taxi Driver (1976),Crime|Drama|Thriller,103,75314,8.2,9432,44.633,FALSE,None,/a58oc5qGNazb3QOxEH8eG5S7gjr.jpg
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,33542,113326,6.8,735,24.812,FALSE,None,/h9T2IaeL9VlKY4MJcTNLtLwj4jG.jpg
113,Before and After (1996),Drama|Mystery,43566,115645,6,136,7.016,FALSE,None,/vmw1GLjWlCQJZVSaRthQYbf7Ypf.jpg
116,Anne Frank Remembered (1995),Documentary,51352,112373,8,14,3.427,FALSE,None,/6uwqFydMLlsGuVxUz0HWTgnLY5s.jpg
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,16934,115033,6.7,39,3.673,FALSE,None,/ogEZl7DzCOS6gmrby2N7MSqe2JS.jpg
118,If Lucy Fell (1996),Comedy|Romance,10324,116606,5.1,33,3.865,FALSE,None,/vM5LWcH8v2LbFRmhbwvNzKY2SLA.jpg
119,"Steal Big, Steal Little (1995)",Comedy,78406,114536,4.4,17,2.988,FALSE,None,/wFZzg9PFqZHd5HhACbUIt1z7YAK.jpg
121,"Boys of St. Vincent, The (1992)",Drama,32119,106473,7.3,25,4.539,FALSE,The Boys of St. Vincent,/iEqFtSq6MX8q82VdkAkMgKscZC.jpg
122,Boomerang (1992),Comedy|Romance,11066,103859,5.6,454,13.817,FALSE,None,/rNulkgxFcmlgre3G8S7ABegzPVm.jpg
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,11104,109424,8,1189,23.361,FALSE,None,/i4m14DMv0JG4AOH6sP7Pes87A9x.jpg
125,Flirting With Disaster (1996),Comedy,2074,116324,6.2,186,7.228,FALSE,None,/gzlGNZczKeBsNskj8MLGlh0fIc1.jpg
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,27793,110647,4.4,305,13.718,FALSE,The Neverending Story Collection,/leuav0ikW74sCZyuthKyvcKYVMP.jpg
128,Jupiter's Wife (1994),Documentary,290157,110217,7.2,5,0.6,FALSE,None,
129,Pie in the Sky (1996),Comedy|Romance,110972,114131,6.6,10,1.488,FALSE,None,/iZs2BzP1nbrcHCDX3QEHa3Nn0y4.jpg
132,Jade (1995),Thriller,11863,113451,5.4,184,8.309,FALSE,None,/upgQh5QSpsaF6scniEJnE2WhSUU.jpg
135,Down Periscope (1996),Comedy,9101,116130,6.1,327,13.321,FALSE,None,/kKI12z62i28fgXYG5LoMLh4e3PP.jpg
137,Man of the Year (1995),Documentary,5757,113756,2.6,4,1.21,FALSE,None,/jVO3Gvsdqe5C9Jr7cE1fSOtW2Op.jpg
140,Up Close and Personal (1996),Drama|Romance,9302,118055,6.4,172,7.018,FALSE,None,/wqD5zMFFITtzySK7fuYX42AtbJE.jpg
141,"Birdcage, The (1996)",Comedy,11000,115685,7.1,874,11.418,FALSE,None,/amwSpaWcG06C7i65d8z44wgJ8lC.jpg
144,"Brothers McMullen, The (1995)",Comedy,16388,112585,6,69,4.918,FALSE,None,/lkCevtahSlenCKrKkIXVAFtehBB.jpg
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,9737,112442,6.8,5197,37.314,FALSE,Bad Boys Collection,/wOLTJxfv98miIQcn0oNXq9fIgXM.jpg
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,30765,112342,5.7,74,6.952,FALSE,None,/1fZlLZxYI2kmsymlrOrGXHyWkXS.jpg
147,"Basketball Diaries, The (1995)",Drama,10474,112461,7.4,1555,17.92,FALSE,None,/nb8pMW3o85jATvhz7y6clAFlL1u.jpg
148,"Awfully Big Adventure, An (1995)",Drama,22279,112427,6.7,37,5.278,FALSE,None,/jCMX5qTsYKxCHYBywCH8vzATLfU.jpg
149,Amateur (1994),Crime|Drama|Thriller,30157,109093,6.7,59,5.268,FALSE,None,/n1WJ2ZGgGM2h1belWWgOTpLCIVp.jpg
150,Apollo 13 (1995),Adventure|Drama|IMAX,568,112384,7.4,4504,18.336,FALSE,None,/AfGp6Ev3BVdEd7L99kGQzOzsqRb.jpg
151,Rob Roy (1995),Action|Drama|Romance|War,11780,114287,6.8,498,9.744,FALSE,None,/yOwrZDFWdK2hjb4iOg8UEfNvNpJ.jpg
152,"Addiction, The (1995)",Drama|Horror,34996,112288,6.5,196,7.671,FALSE,None,/wXJAMyI543CdRGcmqpCCaV0dNzz.jpg
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,414,112462,5.4,4287,28.305,FALSE,Batman Collection,/snlu32RmjldF9b068UURJg8sQtn.jpg
154,Beauty of the Day (Belle de jour) (1967),Drama,649,61395,7.5,631,10.5,FALSE,None,/9fJPLvrUV32MzpfDwXk7cOnj8hM.jpg
155,Beyond Rangoon (1995),Adventure|Drama|War,1873,112495,6.7,69,5.698,FALSE,None,/dcGsNJtwBXnXmSqze0289IjScTR.jpg
156,Blue in the Face (1995),Comedy|Drama,5894,112541,6.7,116,6.769,FALSE,Brooklyn Cigar Store Collection,/8J7EgfkKLIwfvtBvJ3OLsF9BOZu.jpg
157,Canadian Bacon (1995),Comedy|War,1775,109370,5.8,167,7.813,FALSE,None,/c4vkEcwWiRAg5TAb4sbuIElSR4T.jpg
158,Casper (1995),Adventure|Children,8839,112642,6.3,3870,41.422,FALSE,Casper Collection,/g5hN9Kp4ShUcXmnjoaqg3LSWcHr.jpg
159,Clockers (1995),Crime|Drama|Mystery,20649,112688,6.9,244,7.611,FALSE,None,/f4zLTxltVrjyU6GtbWe2j1yn18F.jpg
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,10329,112715,5.5,689,15.713,FALSE,None,/g3wWgcKTGhfAA4LPvVGBPx0drWw.jpg
161,Crimson Tide (1995),Drama|Thriller|War,8963,112740,7.2,1340,15.153,FALSE,None,/8z7CuFfgqr2zDtsJ2EPeRFLlK4h.jpg
162,Crumb (1994),Documentary,26564,109508,7.6,184,5.453,FALSE,None,/gs6GTGI5mMvsjqmKopWOLlX6N4i.jpg
163,Desperado (1995),Action|Romance|Western,8068,112851,6.9,2291,20.434,FALSE,Mariachi Collection,/kjFYGZLDGWMIp3tV4nuWQ4oWDar.jpg
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,8512,112857,6.3,273,6.938,FALSE,None,/116bqpMui0uJ2DIZnKczsG9LSQf.jpg
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,1572,112864,7.2,5020,32.189,FALSE,Die Hard Collection,/ejNwW7kxbGoD9ZYLHb1UH9nslUr.jpg
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,13552,112887,6.3,183,9.099,FALSE,None,/9mHvO0PzmEgxDtmRq3VeTVELYqb.jpg
168,First Knight (1995),Action|Drama|Romance,6520,113071,6.1,956,10.594,FALSE,None,/1V0qjbu4xDy8B4LBk8clUisRmBy.jpg
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,9073,113114,5.9,478,23.154,FALSE,Free Willy Collection,/kWrGWWEdqtRv3Jn9tCRorEEQ7h5.jpg
170,Hackers (1995),Action|Adventure|Crime|Thriller,10428,113243,6.3,979,13.468,FALSE,None,/bqFO92d1idNAI4OOncUrduz2YoA.jpg
171,Jeffrey (1995),Comedy|Drama,17447,113464,6.8,47,6.184,FALSE,None,/8dCgk9uer8DvMHKdC7wcyzPTwiA.jpg
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,9886,113481,5.7,1054,13.858,FALSE,None,/eOPvt9Z9WZCzIrDhu359IoEtWm7.jpg
173,Judge Dredd (1995),Action|Crime|Sci-Fi,9482,113492,5.8,1934,22.84,FALSE,None,/baJHUXBcoaHnMf2sjwegbuhIjEV.jpg
174,Jury Duty (1995),Comedy,19326,113500,4.5,86,5.76,FALSE,None,/8zO4AoxU7pzH8PRjDl1phWwLuVm.jpg
175,Kids (1995),Drama,9344,113540,6.9,861,16.702,FALSE,None,/c6TjV0i5NzUV4MF8N5wxBW7NcrW.jpg
176,Living in Oblivion (1995),Comedy,9071,113677,7.2,204,7.249,FALSE,None,/6CwIvZzTtsHX9LQAySH03Vby5UV.jpg
177,Lord of Illusions (1995),Horror,8973,113690,6,237,13.715,FALSE,None,/yLfUS9nFmyrYsntznhvxpZMrdtl.jpg
178,Love & Human Remains (1993),Comedy|Drama,15730,107447,5.8,29,4.271,FALSE,None,/7J04tcVkPXNWuedOKxiu4guos7H.jpg
179,Mad Love (1995),Drama|Romance,47608,113729,5.3,79,6.96,FALSE,None,/8njBiJUriBw4wrT6FoVpYA57wdG.jpg
180,Mallrats (1995),Comedy|Romance,2293,113749,6.8,967,7.328,FALSE,Mallrats Collection,/bWzcRrAgCHIoTglSBt3N5BG5gS8.jpg
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,9070,113820,5.8,544,22.7,FALSE,Power Rangers Collection,/7n6RzJfPGnSGsHidO2gUWYgs1TT.jpg
183,Mute Witness (1994),Comedy|Horror|Thriller,48787,110604,6.4,97,5.72,FALSE,None,/jZy2ySYglBmL6fNNlyOMzDYKILv.jpg
184,Nadja (1994),Drama,34574,110620,5.5,37,3.065,FALSE,None,/e67eo1crGllFvBH8mWBamSTfvsL.jpg
185,"Net, The (1995)",Action|Crime|Thriller,1642,113957,6,1037,11.373,FALSE,The Net Collection,/a4ICplkdIFQanvYrBrwBXmEO481.jpg
186,Nine Months (1995),Comedy|Romance,11472,113986,5.7,532,9.44,FALSE,None,/4zzuWYwejsrCTnqN3nM0XTf9B9w.jpg
187,Party Girl (1995),Comedy,36196,114095,6.2,31,4.693,FALSE,None,/pyDMxTXclKi4oaPDgcdZYZLPCCX.jpg
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,11980,114194,6.5,383,8.803,FALSE,The Prophecy Collection,/ed7c1oWavgcgZmWKbPr2oKg4JAD.jpg
189,Reckless (1995),Comedy|Fantasy,58372,114241,7,4,1.96,FALSE,None,/edNTtl2UuKcU8vXEaYgu76vISXw.jpg
190,Safe (1995),Thriller,32646,114323,6.9,207,7.269,FALSE,None,/4n0Uejo8mdKtOGvX384pKShs5q.jpg
191,"Scarlet Letter, The (1995)",Drama|Romance,10533,114345,6,375,10.422,FALSE,None,/tZJIL1n3eGZd3mZyto3Ux2xNEBW.jpg
193,Showgirls (1995),Drama,10802,114436,5.5,920,20.985,FALSE,Showgirls Collection,/cIXSZnfdRV5xh9bs4Cnv3OryGS2.jpg
194,Smoke (1995),Comedy|Drama,10149,114478,7.2,354,8.025,FALSE,Brooklyn Cigar Store Collection,/dkg2DcGg6cjDia20yLWDaNLBRIb.jpg
195,Something to Talk About (1995),Comedy|Drama|Romance,18402,114496,5.6,191,7.398,FALSE,None,/hbnz7LB3B8uFKDUSe3uM1K5ats9.jpg
196,Species (1995),Horror|Sci-Fi,9348,114508,5.9,1255,33.383,FALSE,Species Collection,/tEHmWaIzM0nuFi1CKQL8mJdJZsT.jpg
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,281,114558,7,1004,10.289,FALSE,None,/lPvwp0esgdnb6L7ypTbgwhhAMxz.jpg
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,5967,58450,7.4,554,7.516,FALSE,None,/wVoGdV7PGc9vs0udN2FxnCJpoqz.jpg
201,Three Wishes (1995),Drama|Fantasy,47939,114663,6.2,60,5.522,FALSE,None,/BuOA7HsDQmWLuvoTh7gCazSgCo.jpg
202,Total Eclipse (1995),Drama|Romance,36834,114702,6.4,413,9.667,FALSE,None,/3FYltaTkmrFeVquPOXbAXgYVuqZ.jpg
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,9090,114682,7.3,498,14.593,FALSE,None,/cDl271jLuysm3Oe6LAzpQ2ZVHw5.jpg
